product,theme,observed,expected,residual,abs_residual,association_strength,direction
Checking or savings account,Banking / account servicing,3159,1933.95,27.8567,27.8567,Strong,Higher than expected
Checking or savings account,Credit reporting / identity,203,898.79,-23.2087,23.2087,Strong,Lower than expected
Checking or savings account,Credit-report accuracy / rights,0,78.28,-8.8475,8.8475,Strong,Lower than expected
Checking or savings account,Debt collection / validation,5,572.93,-23.727,23.727,Strong,Lower than expected
Checking or savings account,Debt legitimacy / authorization,0,56.67,-7.5281,7.5281,Strong,Lower than expected
Checking or savings account,Debt verification / FDCPA,0,202.43,-14.2277,14.2277,Strong,Lower than expected
Checking or savings account,False credit reporting,0,178.16,-13.3478,13.3478,Strong,Lower than expected
Checking or savings account,Transactions / funds disputes,1945,1390.78,14.8611,14.8611,Strong,Higher than expected
Credit card,Banking / account servicing,2448,1762.48,16.329,16.329,Strong,Higher than expected
Credit card,Credit reporting / identity,594,819.1,-7.8651,7.8651,Strong,Lower than expected
Credit card,Credit-report accuracy / rights,3,71.34,-8.091,8.091,Strong,Lower than expected
Credit card,Debt collection / validation,35,522.13,-21.3183,21.3183,Strong,Lower than expected
Credit card,Debt legitimacy / authorization,1,51.65,-7.0475,7.0475,Strong,Lower than expected
Credit card,Debt verification / FDCPA,0,184.48,-13.5823,13.5823,Strong,Lower than expected
Credit card,False credit reporting,1,162.37,-12.6639,12.6639,Strong,Lower than expected
Credit card,Transactions / funds disputes,1759,1267.47,13.8066,13.8066,Strong,Higher than expected
Credit card or prepaid card,Banking / account servicing,2,0.73,1.4905,1.4905,Normal,Higher than expected
Credit card or prepaid card,Credit reporting / identity,0,0.34,-0.5817,0.5817,Normal,Lower than expected
Credit card or prepaid card,Credit-report accuracy / rights,0,0.03,-0.1717,0.1717,Normal,Lower than expected
Credit card or prepaid card,Debt collection / validation,0,0.22,-0.4644,0.4644,Normal,Lower than expected
Credit card or prepaid card,Debt legitimacy / authorization,0,0.02,-0.1461,0.1461,Normal,Lower than expected
Credit card or prepaid card,Debt verification / FDCPA,0,0.08,-0.2761,0.2761,Normal,Lower than expected
Credit card or prepaid card,False credit reporting,0,0.07,-0.259,0.259,Normal,Lower than expected
Credit card or prepaid card,Transactions / funds disputes,0,0.52,-0.7236,0.7236,Normal,Lower than expected
Credit reporting or other personal consumer reports,Banking / account servicing,37,487.86,-20.4123,20.4123,Strong,Lower than expected
Credit reporting or other personal consumer reports,Credit reporting / identity,1227,226.73,66.4301,66.4301,Strong,Higher than expected
Credit reporting or other personal consumer reports,Credit-report accuracy / rights,19,19.75,-0.168,0.168,Normal,Lower than expected
Credit reporting or other personal consumer reports,Debt collection / validation,13,144.53,-10.9405,10.9405,Strong,Lower than expected
Credit reporting or other personal consumer reports,Debt legitimacy / authorization,0,14.3,-3.781,3.781,Strong,Lower than expected
Credit reporting or other personal consumer reports,Debt verification / FDCPA,0,51.06,-7.1459,7.1459,Strong,Lower than expected
Credit reporting or other personal consumer reports,False credit reporting,2,44.94,-6.4057,6.4057,Strong,Lower than expected
Credit reporting or other personal consumer reports,Transactions / funds disputes,42,350.84,-16.4883,16.4883,Strong,Lower than expected
"Credit reporting, credit repair services, or other personal consumer reports",Banking / account servicing,6,9.47,-1.1265,1.1265,Normal,Lower than expected
"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting / identity,16,4.4,5.531,5.531,Strong,Higher than expected
"Credit reporting, credit repair services, or other personal consumer reports",Credit-report accuracy / rights,1,0.38,0.9966,0.9966,Normal,Higher than expected
"Credit reporting, credit repair services, or other personal consumer reports",Debt collection / validation,3,2.8,0.1169,0.1169,Normal,Higher than expected
"Credit reporting, credit repair services, or other personal consumer reports",Debt legitimacy / authorization,0,0.28,-0.5267,0.5267,Normal,Lower than expected
"Credit reporting, credit repair services, or other personal consumer reports",Debt verification / FDCPA,0,0.99,-0.9954,0.9954,Normal,Lower than expected
"Credit reporting, credit repair services, or other personal consumer reports",False credit reporting,0,0.87,-0.9338,0.9338,Normal,Lower than expected
"Credit reporting, credit repair services, or other personal consumer reports",Transactions / funds disputes,0,6.81,-2.6091,2.6091,Notable,Lower than expected
Debt collection,Banking / account servicing,1597,3753.23,-35.1959,35.1959,Strong,Lower than expected
Debt collection,Credit reporting / identity,2396,1744.29,15.6044,15.6044,Strong,Higher than expected
Debt collection,Credit-report accuracy / rights,415,151.92,21.3448,21.3448,Strong,Higher than expected
Debt collection,Debt collection / validation,3094,1111.88,59.4433,59.4433,Strong,Higher than expected
Debt collection,Debt legitimacy / authorization,317,109.98,19.7395,19.7395,Strong,Higher than expected
Debt collection,Debt verification / FDCPA,1142,392.85,37.7967,37.7967,Strong,Higher than expected
Debt collection,False credit reporting,1002,345.76,35.2915,35.2915,Strong,Higher than expected
Debt collection,Transactions / funds disputes,346,2699.09,-45.2929,45.2929,Strong,Lower than expected
Debt or credit management,Banking / account servicing,116,103.03,1.2775,1.2775,Normal,Higher than expected
Debt or credit management,Credit reporting / identity,90,47.88,6.0863,6.0863,Strong,Higher than expected
Debt or credit management,Credit-report accuracy / rights,2,4.17,-1.0628,1.0628,Normal,Lower than expected
Debt or credit management,Debt collection / validation,12,30.52,-3.3527,3.3527,Strong,Lower than expected
Debt or credit management,Debt legitimacy / authorization,0,3.02,-1.7376,1.7376,Normal,Lower than expected
Debt or credit management,Debt verification / FDCPA,1,10.78,-2.9795,2.9795,Notable,Lower than expected
Debt or credit management,False credit reporting,0,9.49,-3.0809,3.0809,Strong,Lower than expected
Debt or credit management,Transactions / funds disputes,62,74.09,-1.4051,1.4051,Normal,Lower than expected
"Money transfer, virtual currency, or money service",Banking / account servicing,1148,810.43,11.858,11.858,Strong,Higher than expected
"Money transfer, virtual currency, or money service",Credit reporting / identity,13,376.64,-18.7374,18.7374,Strong,Lower than expected
"Money transfer, virtual currency, or money service",Credit-report accuracy / rights,0,32.8,-5.7274,5.7274,Strong,Lower than expected
"Money transfer, virtual currency, or money service",Debt collection / validation,2,240.09,-15.3656,15.3656,Strong,Lower than expected
"Money transfer, virtual currency, or money service",Debt legitimacy / authorization,0,23.75,-4.8733,4.8733,Strong,Lower than expected
"Money transfer, virtual currency, or money service",Debt verification / FDCPA,0,84.83,-9.2102,9.2102,Strong,Lower than expected
"Money transfer, virtual currency, or money service",False credit reporting,0,74.66,-8.6406,8.6406,Strong,Lower than expected
"Money transfer, virtual currency, or money service",Transactions / funds disputes,1063,582.81,19.8907,19.8907,Strong,Higher than expected
