feature,raw_feature,coefficient,abs_coefficient,direction
country:Denmark,cat__obs_country_mode_Denmark,-1.2589484830183262,1.2589484830183262,Decreases churn risk
country:Switzerland,cat__obs_country_mode_Switzerland,-0.722329467965329,0.722329467965329,Decreases churn risk
country:Netherlands,cat__obs_country_mode_Netherlands,0.7083292593335032,0.7083292593335032,Increases churn risk
country:USA,cat__obs_country_mode_USA,0.7034555969171449,0.7034555969171449,Increases churn risk
obs_unique_purchase_days,num__obs_unique_purchase_days,-0.6870212320064467,0.6870212320064467,Decreases churn risk
country:Greece,cat__obs_country_mode_Greece,0.6667378703586985,0.6667378703586985,Increases churn risk
country:Spain,cat__obs_country_mode_Spain,-0.622650821099957,0.622650821099957,Decreases churn risk
country:Canada,cat__obs_country_mode_Canada,0.600617060574013,0.600617060574013,Increases churn risk
obs_average_unit_price,num__obs_average_unit_price,0.5643865007201673,0.5643865007201673,Increases churn risk
country:Brazil,cat__obs_country_mode_Brazil,0.5217774941753434,0.5217774941753434,Increases churn risk
country:Germany,cat__obs_country_mode_Germany,-0.5192507239680781,0.5192507239680781,Decreases churn risk
country:Bahrain,cat__obs_country_mode_Bahrain,0.5009958927820513,0.5009958927820513,Increases churn risk
country:Finland,cat__obs_country_mode_Finland,-0.4519898787147986,0.4519898787147986,Decreases churn risk
obs_total_invoices,num__obs_total_invoices,0.4486851663576561,0.4486851663576561,Increases churn risk
obs_recency_days,num__obs_recency_days,0.4366435804439403,0.4366435804439403,Increases churn risk
country:Czech Republic,cat__obs_country_mode_Czech Republic,-0.42887951975290917,0.42887951975290917,Decreases churn risk
country:Sweden,cat__obs_country_mode_Sweden,0.3891137314070833,0.3891137314070833,Increases churn risk
obs_average_line_revenue,num__obs_average_line_revenue,0.3703503832346515,0.3703503832346515,Increases churn risk
country:Korea,cat__obs_country_mode_Korea,0.3426276129086425,0.3426276129086425,Increases churn risk
obs_m_score,num__obs_m_score,-0.327830940237052,0.327830940237052,Decreases churn risk
