customer_id,country,total_revenue,total_invoices,recency_days,rfm_segment,health_tier,customer_health_score,churn_probability,churn_risk_tier,action_priority,customer_value_tier,retention_target_flag,vip_flag
18102,United Kingdom,580987.04,145,1,Champions,Excellent,99.48,0.017,Low Risk,Priority 4,Top 10% Value,0,1
14646,Netherlands,528602.52,151,2,Champions,Excellent,99.98,0.0003,Low Risk,Priority 4,Top 10% Value,0,1
14156,EIRE,313437.62,156,10,Champions,Excellent,99.98,0.0001,Low Risk,Priority 4,Top 10% Value,0,1
14911,EIRE,291420.81,398,1,Champions,Excellent,99.99,0.0,Low Risk,Priority 4,Top 10% Value,0,1
17450,United Kingdom,244784.25,51,8,Champions,Excellent,95.67,0.1421,Low Risk,Priority 4,Top 10% Value,0,1
13694,United Kingdom,195640.69,143,4,Champions,Excellent,99.87,0.0032,Low Risk,Priority 4,Top 10% Value,0,1
17511,United Kingdom,172132.87,60,3,Champions,Excellent,99.67,0.0057,Low Risk,Priority 4,Top 10% Value,0,1
16446,United Kingdom,168472.5,2,1,Big Spenders,Healthy,71.85,0.5304,Medium Risk,Priority 4,Top 10% Value,0,1
16684,United Kingdom,147142.77,55,4,Champions,Excellent,98.61,0.04,Low Risk,Priority 4,Top 10% Value,0,1
12415,Australia,144458.37,28,24,Champions,Excellent,95.15,0.0558,Low Risk,Priority 4,Top 10% Value,0,1
15061,United Kingdom,126389.02,127,4,Champions,Excellent,98.6,0.0449,Low Risk,Priority 4,Top 10% Value,0,1
16029,United Kingdom,117763.62,107,39,Champions,Excellent,96.28,0.033,Low Risk,Priority 4,Top 10% Value,0,1
17949,United Kingdom,117314.08,118,1,Champions,Excellent,96.44,0.1165,Low Risk,Priority 4,Top 10% Value,0,1
15311,United Kingdom,114966.42,208,1,Champions,Excellent,99.95,0.0,Low Risk,Priority 4,Top 10% Value,0,1
13089,United Kingdom,113416.91,203,3,Champions,Excellent,99.87,0.0025,Low Risk,Priority 4,Top 10% Value,0,1
12931,United Kingdom,92347.34,57,22,Champions,Excellent,94.93,0.0735,Low Risk,Priority 4,Top 10% Value,0,1
14298,United Kingdom,91194.49,82,8,Champions,Excellent,99.64,0.0083,Low Risk,Priority 4,Top 10% Value,0,1
15769,United Kingdom,88612.52,46,7,Champions,Excellent,98.09,0.0482,Low Risk,Priority 4,Top 10% Value,0,1
12346,United Kingdom,77556.46,12,326,Cannot Lose,Healthy,64.86,0.8233,Critical Risk,Priority 1,Top 10% Value,1,0
13798,United Kingdom,75428.87,110,1,Champions,Excellent,99.77,0.0047,Low Risk,Priority 4,Top 10% Value,0,1
15838,United Kingdom,73205.5,34,11,Champions,Excellent,97.6,0.0589,Low Risk,Priority 4,Top 10% Value,0,1
17841,United Kingdom,68545.25,211,2,Champions,Excellent,99.92,0.0,Low Risk,Priority 4,Top 10% Value,0,1
16754,United Kingdom,65500.07,29,372,Cannot Lose,Excellent,85.15,0.2241,Low Risk,Priority 2,Top 10% Value,1,0
14096,United Kingdom,65164.79,17,4,Champions,Excellent,84.91,,Not Scored,Priority 4,Top 10% Value,0,1
